Account Number,Organization,Primary Sector,Primary Industry,Country,ISIN,Reporting Year,Scope 1 (metric tons CO2e),Scope 2 Location-Based (metric tons CO2e),Scope 2 Market-Based (metric tons CO2e),Scope 3 Total (metric tons CO2e),Emission Unit,Data Verification,CDP Score,Public Disclosure
CDP-DE0007236101-2022,Siemens AG,Industrials,Industrials,Germany,DE0007236101,2022,3253366.0,464767.0,254258.0,64627392.0,metric tons CO2e,Not verified,A,Yes
CDP-DE0007236101-2023,Siemens AG,Industrials,Industrials,Germany,DE0007236101,2023,,,,,tonnes CO2,Third-party verified,A-,Yes
CDP-DE000BASF111-2022,BASF SE,Materials,Materials,Germany,DE000BASF111,2022,12370094.0,1237009.0,700874.0,146299921.0,metric tons CO2e,Limited assurance,C,Yes
CDP-DE000BASF111-2023,BASF SE,Materials,Materials,Germany,DE000BASF111,2023,10094667.0,1009467.0,536425.0,,metric tons CO2e,Not verified,B-,No
CDP-DE0008404005-2022,Allianz SE,Financials,Financials,Germany,DE0008404005,2022,88871.0,66653.0,59800.0,571971.0,metric tons CO2e,Limited assurance,C,No
CDP-DE0008404005-2023,Allianz SE,Financials,Financials,Germany,DE0008404005,2023,92004.0,69003.0,,1269712.0,metric tons CO2e,Not verified,B-,No
CDP-DE0007164600-2022,SAP SE,Information Technology,Information Technology,Germany,DE0007164600,2022,97882.0,326273.0,220263.0,1985660.0,metric tons CO2e,Third-party verified,,Yes
CDP-DE0007164600-2023,SAP SE,Information Technology,Information Technology,Germany,DE0007164600,2023,141345.0,471149.0,308510.0,1749724.0,metric tons CO2e,,B,No
CDP-DE0005557508-2022,Deutsche Telekom AG,Communication Services,Communication Services,Germany,DE0005557508,2022,692890.0,1039335.0,,,metric tons CO2e,Third-party verified,A-,No
CDP-DE0005557508-2023,Deutsche Telekom AG,Communication Services,Communication Services,Germany,DE0005557508,2023,511042.0,766562.0,,7404287.0,tonnes CO2,Not verified,,No
CDP-DE0005190003-2022,BMW AG,Consumer Discretionary,Consumer Discretionary,Germany,DE0005190003,2022,4582375.0,458238.0,316285.0,,metric tons CO2e,Third-party verified,A-,Yes
CDP-DE0005190003-2023,BMW AG,Consumer Discretionary,Consumer Discretionary,Germany,DE0005190003,2023,3571131.0,357113.0,179287.0,37109243.0,metric tons CO2e,Limited assurance,A-,Yes
CDP-DE000BAY0017-2022,Bayer AG,Health Care,Health Care,Germany,DE000BAY0017,2022,786126.0,196531.0,136994.0,7846020.0,tonnes CO2,Not verified,A,Yes
CDP-DE000BAY0017-2023,Bayer AG,Health Care,Health Care,Germany,DE000BAY0017,2023,781001.0,195250.0,,,metric tons CO2e,Third-party verified,B,Yes
CDP-DE0005140008-2022,Deutsche Bank AG,Financials,Financials,Germany,DE0005140008,2022,66250.0,49688.0,39807.0,396881.0,metric tons CO2e,,B-,No
CDP-DE0005140008-2023,Deutsche Bank AG,Financials,Financials,Germany,DE0005140008,2023,,,,890926.0,metric tons CO2e,Not verified,C,Yes
CDP-DE0007664039-2022,Volkswagen AG,Consumer Discretionary,Consumer Discretionary,Germany,DE0007664039,2022,3528344.0,352834.0,229005.0,18188718.0,metric tons CO2e,Limited assurance,C,No
CDP-DE0007664039-2023,Volkswagen AG,Consumer Discretionary,Consumer Discretionary,Germany,DE0007664039,2023,4653214.0,465321.0,375334.0,63565925.0,metric tons CO2e,Not verified,,Yes
CDP-DE0007100000-2022,Mercedes-Benz Group AG,Consumer Discretionary,Consumer Discretionary,Germany,DE0007100000,2022,4509333.0,450933.0,232001.0,,tonnes CO2,Limited assurance,B-,No
CDP-DE0007100000-2023,Mercedes-Benz Group AG,Consumer Discretionary,Consumer Discretionary,Germany,DE0007100000,2023,3509832.0,350983.0,239482.0,,metric tons CO2e,Not verified,B-,Yes
CDP-DE0006231004-2022,Infineon Technologies AG,Information Technology,Information Technology,Germany,DE0006231004,2022,112211.0,374038.0,309138.0,532948.0,metric tons CO2e,Third-party verified,B-,Yes
CDP-DE0006231004-2023,Infineon Technologies AG,Information Technology,Information Technology,Germany,DE0006231004,2023,118946.0,396485.0,,1832522.0,metric tons CO2e,,B-,Yes
CDP-DE0008430026-2022,Muenchener Rueckversicherung AG,Financials,Financials,Germany,DE0008430026,2022,87194.0,,,872881.0,metric tons CO2e,Not verified,C,No
CDP-DE0008430026-2023,Muenchener Rueckversicherung AG,Financials,Financials,Germany,DE0008430026,2023,85033.0,63774.0,,1227863.0,metric tons CO2e,Third-party verified,C,Yes
CDP-DE000A1EWWW0-2022,adidas AG,Consumer Discretionary,Consumer Discretionary,Germany,DE000A1EWWW0,2022,3894095.0,389410.0,,,metric tons CO2e,Not verified,,No
