country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Austria,2020,AUT,8921402.0,363281092036.0,1.821,0.204,62.18,-5.771,-8.493,61.379,-5.877,-8.738,6.88,0.169,0.153,6.97,0.171,0.155,11.371,1.275,78.804,8.833,0.217,137.898,5509.181,5730.893,2732.877,4.655,722.768,250.035,1875.482,35.501,44852.156,1.101,0.109,0.012,16.959,1.901,7.579,8.341,-0.801,-0.09,9.103,1.02,3.784,0.424,30.779,3.45,0.128,1.14,400.144,0.112,0.177,0.155,0.08,0.317,0.324,0.222,0.347,0.025,0.295,0.028,0.318,0.27,0.027,0.225,-0.018,0.282,0.275,0.197,0.0,0.003,0.003,0.0,74.417,67.613,16.624,26.735
Austria,2021,AUT,8967053.0,379835198584.0,1.889,0.211,65.751,3.572,5.744,65.228,3.849,6.271,7.274,0.172,0.161,7.333,0.173,0.162,12.408,1.384,85.499,9.535,0.225,139.786,5574.932,5796.121,2745.285,4.739,740.691,249.511,1907.652,36.778,45314.195,1.07,0.084,0.009,17.923,1.999,7.964,8.769,-0.523,-0.058,9.323,1.04,3.761,0.419,32.17,3.588,0.142,1.277,406.335,0.113,0.178,0.157,0.083,0.31,0.321,0.221,0.342,0.025,0.293,0.028,0.317,0.271,0.021,0.227,-0.011,0.279,0.293,0.196,0.0,0.003,0.003,0.0,78.633,71.416,19.748,30.034
Austria,2022,AUT,9064678.0,398815419150.0,1.832,0.202,61.454,-4.297,-6.536,61.217,-4.011,-6.15,6.753,0.153,0.16,6.78,0.154,0.161,11.663,1.287,83.156,9.174,0.209,141.618,5636.386,5857.337,2756.948,4.82,756.659,249.274,1938.354,37.987,42122.105,0.957,0.08,0.009,15.968,1.762,7.384,8.164,-0.237,-0.026,9.215,1.017,3.635,0.401,30.702,3.387,0.133,1.209,381.823,0.116,0.164,0.145,0.075,0.303,0.318,0.22,0.337,0.025,0.29,0.028,0.316,0.271,0.02,0.206,-0.005,0.258,0.283,0.195,0.0,0.003,0.003,0.0,74.005,66.934,21.701,35.313
Austria,2023,AUT,9130434.0,,1.543,0.169,56.909,-4.545,-7.396,56.509,-4.707,-7.689,6.189,,0.143,6.233,,0.144,11.146,1.221,76.469,8.375,,143.161,5693.295,5913.847,2768.094,4.894,770.293,248.874,1967.73,39.123,43148.035,,0.074,0.008,13.634,1.493,6.836,7.578,-0.399,-0.044,9.275,1.016,3.587,0.393,29.376,3.217,0.124,1.136,393.96,0.1,0.149,0.132,0.071,0.297,0.314,0.218,0.332,0.025,0.287,0.028,0.315,0.271,0.018,0.175,-0.008,0.239,0.267,0.193,0.0,0.003,0.003,0.0,69.192,62.415,19.56,34.37
Austria,2024,AUT,9120815.0,,1.543,0.169,56.368,-0.541,-0.951,55.7,-0.81,-1.433,6.107,,0.135,6.18,,0.137,11.154,1.223,,,,144.703,5749.663,5969.547,2779.249,4.967,783.866,248.206,1996.619,40.259,45208.309,,0.074,0.008,13.573,1.488,6.785,7.483,-0.668,-0.073,9.31,1.021,3.561,0.39,28.888,3.167,0.125,1.136,412.337,0.105,0.146,0.129,0.071,0.291,0.311,0.217,0.327,0.025,0.283,0.027,0.313,0.271,0.018,0.169,-0.015,0.232,0.268,0.192,0.0,0.003,0.003,0.0,68.248,61.884,,
Belgium,2020,BEL,11540102.0,447544069854.0,2.634,0.228,91.255,-8.544,-8.561,94.632,-9.052,-8.73,8.2,0.211,0.143,7.908,0.204,0.137,10.466,0.907,182.339,15.8,0.407,220.602,12552.183,12812.982,7523.05,3.228,1334.289,401.962,3385.875,85.138,57530.324,1.483,0.101,0.009,36.073,3.126,8.916,9.896,3.378,0.293,12.25,1.062,8.959,0.776,40.098,3.475,0.163,1.883,663.906,0.162,0.26,0.239,0.073,0.508,0.739,0.496,0.955,0.017,0.544,0.045,0.574,0.647,0.025,0.48,0.075,0.367,0.455,0.419,0.0,0.006,0.007,0.0,114.199,102.894,91.084,99.814
Belgium,2021,BEL,11570843.0,474995824355.0,2.66,0.23,94.928,3.674,4.026,97.879,3.247,3.431,8.459,0.206,0.133,8.204,0.2,0.129,11.762,1.016,201.822,17.442,0.425,223.262,12647.11,12910.861,7534.812,3.327,1370.57,404.914,3428.028,87.112,63805.598,1.554,0.099,0.009,36.281,3.136,9.243,10.21,2.951,0.255,12.3,1.063,9.217,0.797,42.152,3.643,0.171,1.974,738.285,0.16,0.257,0.236,0.079,0.495,0.729,0.492,0.938,0.018,0.542,0.045,0.57,0.641,0.025,0.461,0.063,0.366,0.452,0.415,0.0,0.006,0.007,0.0,118.134,106.955,106.894,112.605
Belgium,2022,BEL,11641814.0,489678394377.0,2.456,0.211,88.915,-6.013,-6.334,92.436,-5.443,-5.561,7.94,0.189,0.133,7.638,0.182,0.128,11.903,1.022,207.098,17.789,0.423,225.718,12736.025,13003.298,7546.715,3.438,1401.744,408.435,3469.493,88.917,59651.605,1.418,0.111,0.01,31.174,2.678,8.609,9.571,3.521,0.302,12.029,1.033,8.663,0.744,41.466,3.562,0.155,1.805,694.453,0.156,0.237,0.218,0.077,0.484,0.719,0.488,0.922,0.018,0.538,0.046,0.566,0.634,0.028,0.402,0.074,0.348,0.422,0.412,0.0,0.006,0.007,0.0,111.423,100.224,118.183,132.917
Belgium,2023,BEL,11712891.0,,2.181,0.186,84.703,-4.212,-4.737,88.414,-4.022,-4.351,7.548,,0.136,7.232,,0.13,10.431,0.891,196.605,16.785,,227.899,12820.729,13091.712,7557.146,3.512,1430.899,412.146,3510.681,90.592,55542.023,,0.074,0.006,29.155,2.489,8.168,9.139,3.711,0.317,11.996,1.024,8.365,0.714,41.188,3.516,0.143,1.675,650.558,0.142,0.222,0.206,0.067,0.473,0.708,0.483,0.906,0.018,0.533,0.046,0.561,0.627,0.018,0.374,0.078,0.335,0.394,0.408,0.0,0.006,0.007,0.0,107.044,95.673,111.902,132.11
Belgium,2024,BEL,11738761.0,,2.181,0.186,85.456,0.753,0.889,89.296,0.881,0.997,7.607,,0.139,7.28,,0.133,11.492,0.979,,,,230.079,12906.185,13181.008,7568.639,3.586,1458.974,415.985,3552.641,92.267,54870.879,,0.074,0.006,28.075,2.392,8.217,9.196,3.839,0.327,11.92,1.015,8.379,0.714,41.96,3.574,0.143,1.675,644.116,0.148,0.221,0.207,0.073,0.463,0.698,0.479,0.891,0.018,0.528,0.046,0.557,0.621,0.018,0.351,0.084,0.336,0.395,0.405,0.0,0.006,0.007,0.0,107.948,96.458,,
Czechia,2020,CZE,10550129.0,323245433506.0,1.891,0.179,91.661,-9.336,-9.244,86.035,-9.274,-9.731,8.155,0.266,0.194,8.688,0.284,0.207,49.727,4.713,101.792,9.648,0.315,148.082,11981.261,11678.819,9678.853,8.815,672.069,-197.74,1419.726,53.716,41949.023,1.369,0.054,0.005,17.431,1.652,9.865,9.908,-5.626,-0.533,12.274,1.163,6.313,0.598,20.963,1.987,0.151,1.597,442.568,0.116,0.261,0.217,0.349,0.341,0.706,0.452,1.228,0.048,0.274,-0.022,0.241,0.408,0.013,0.232,-0.125,0.192,0.386,0.397,0.001,0.005,0.006,0.0,104.534,104.081,10.13,11.052
